cid,buying,maint,doors,persons,lug_boot,safety,label
0,vhigh,med,2,4,med,med,bad
1,low,med,3,4,small,high,acc
2,med,med,3,more,med,high,acc
3,med,low,4,2,big,med,bad
4,low,high,4,more,big,high,acc
5,high,med,5more,2,small,high,bad
6,low,high,3,4,big,high,acc
7,low,high,4,4,med,high,acc
8,low,med,4,4,med,med,acc
9,low,high,2,4,big,high,acc
10,low,med,4,4,small,high,acc
11,med,vhigh,3,2,big,med,bad
12,med,med,3,more,big,high,acc
13,low,low,2,4,med,high,acc
14,low,high,5more,more,big,high,acc
15,med,high,3,more,med,med,acc
16,high,vhigh,3,more,med,low,bad
17,med,med,4,4,big,med,acc
18,low,med,5more,more,small,high,acc
19,low,vhigh,5more,more,small,med,bad
20,low,low,5more,4,small,high,acc
21,high,high,5more,4,big,high,acc
22,low,high,5more,2,big,high,bad
23,low,low,2,4,med,med,acc
24,vhigh,vhigh,5more,2,small,low,bad
25,low,high,2,4,small,low,bad
26,low,low,3,4,small,high,acc
27,low,vhigh,3,4,big,med,acc
28,med,low,4,4,big,high,acc
29,low,med,2,4,big,high,acc
30,low,low,5more,more,big,high,acc
31,vhigh,low,4,4,small,med,bad
32,high,med,5more,2,small,med,bad
33,vhigh,med,4,4,med,med,acc
34,low,med,4,more,big,med,acc
35,low,high,3,more,med,low,bad
36,med,med,3,4,small,med,acc
37,med,high,3,more,big,med,acc
38,med,high,5more,more,med,med,acc
39,med,vhigh,3,4,big,med,acc
40,med,vhigh,2,more,med,low,bad
41,high,vhigh,4,2,med,med,bad
42,med,low,2,more,big,high,acc
43,low,low,5more,4,med,high,acc
44,low,med,2,more,small,high,bad
45,vhigh,med,4,2,med,med,bad
46,low,high,4,2,small,high,bad
47,high,med,4,4,big,med,acc
48,med,low,5more,more,big,med,acc
49,vhigh,med,2,more,med,high,acc
50,low,low,3,more,small,low,bad
51,med,med,3,2,big,high,bad
52,high,high,2,4,med,med,bad
53,low,med,3,4,big,high,acc
54,high,med,4,more,med,high,acc
55,low,low,3,4,big,high,acc
56,low,low,4,more,big,med,acc
57,low,med,5more,4,big,high,acc
58,low,low,4,4,med,high,acc
59,med,high,5more,4,med,low,bad
60,vhigh,med,3,2,small,low,bad
61,high,med,2,4,small,med,bad
62,high,med,4,2,med,low,bad
63,low,med,3,4,med,high,acc
64,vhigh,med,2,more,small,med,bad
65,low,vhigh,2,2,small,med,bad
66,vhigh,high,5more,4,med,med,bad
67,low,high,2,2,big,high,bad
68,high,med,3,4,big,med,acc
69,low,med,4,4,big,med,acc
70,med,high,5more,2,med,high,bad
71,vhigh,low,3,2,small,high,bad
72,low,med,2,more,big,med,acc
73,med,low,4,4,big,med,acc
74,low,low,2,4,small,high,acc
75,high,low,2,more,med,low,bad
76,vhigh,low,2,2,small,low,bad
77,vhigh,low,2,more,small,high,bad
78,vhigh,low,3,2,big,low,bad
79,vhigh,high,2,2,small,low,bad
80,high,low,2,2,big,high,bad
81,med,med,2,more,small,low,bad
82,med,low,5more,more,big,low,bad
83,vhigh,high,5more,4,big,low,bad
84,low,vhigh,5more,2,small,high,bad
85,low,low,4,4,big,high,acc
86,med,high,2,4,small,med,bad
87,low,med,5more,more,big,high,acc
88,low,low,3,4,big,med,acc
89,high,med,2,4,big,low,bad
90,med,high,3,2,med,med,bad
91,vhigh,med,4,more,small,low,bad
92,low,low,4,more,small,med,acc
93,low,low,4,4,big,med,acc
94,low,low,4,more,med,med,acc
95,high,high,2,more,small,high,bad
96,vhigh,med,4,2,small,med,bad
97,low,med,2,more,big,high,acc
98,med,low,3,more,med,low,bad
99,med,vhigh,3,more,small,high,acc
100,high,med,2,2,small,med,bad
101,low,vhigh,3,4,med,med,bad
102,low,low,5more,4,big,med,acc
103,low,low,2,more,med,high,acc
104,low,med,3,more,big,med,acc
105,low,high,5more,4,big,high,acc
106,low,med,3,4,big,med,acc
107,med,low,2,4,big,high,acc
108,low,low,3,more,big,med,acc
109,med,vhigh,3,2,med,low,bad
110,vhigh,low,3,more,small,med,bad
111,vhigh,med,5more,4,small,low,bad
112,low,low,4,4,med,med,acc
113,med,vhigh,2,more,big,med,acc
114,low,med,4,more,med,high,acc
115,low,med,3,more,med,med,acc
116,high,high,5more,2,small,high,bad
117,high,vhigh,2,more,big,high,bad
118,low,vhigh,4,2,med,med,bad
119,low,vhigh,4,more,big,high,acc
120,low,high,5more,4,med,high,acc
121,low,med,3,more,med,high,acc
122,med,low,2,more,small,low,bad
123,high,med,4,4,med,med,acc
124,vhigh,med,2,more,big,high,acc
125,low,low,2,more,big,low,bad
126,low,med,5more,4,med,med,acc
127,high,med,4,2,small,low,bad
128,low,low,3,more,med,high,acc
129,high,low,3,4,small,low,bad
130,vhigh,high,3,2,small,low,bad
131,low,high,5more,more,big,med,acc
132,vhigh,high,2,more,small,low,bad
133,vhigh,med,3,4,med,med,bad
134,low,med,4,more,med,med,acc
135,low,med,2,4,med,high,acc
136,vhigh,med,3,2,med,low,bad
137,med,low,3,more,big,med,acc
138,low,low,4,more,big,high,acc
139,med,low,3,2,big,high,bad
140,high,med,5more,2,big,med,bad
141,vhigh,vhigh,4,more,big,high,bad
142,vhigh,low,2,more,med,med,bad
143,high,vhigh,2,4,small,med,bad
144,med,low,4,more,med,high,acc
145,vhigh,low,5more,2,big,med,bad
146,med,med,5more,more,med,med,acc
147,med,low,2,more,big,med,acc
148,vhigh,high,3,more,big,low,bad
149,vhigh,vhigh,5more,2,big,med,bad
150,low,low,2,more,big,high,acc
151,vhigh,high,5more,4,small,low,bad
152,low,high,2,2,small,med,bad
153,low,med,3,4,med,low,bad
154,low,high,5more,4,med,med,acc
155,med,low,4,more,med,med,acc
156,high,med,3,2,small,low,bad
157,high,med,3,more,big,med,acc
158,low,med,4,4,med,high,acc
159,med,med,2,4,big,med,acc
160,low,vhigh,2,more,big,med,acc
161,high,med,2,2,big,high,bad
162,med,med,2,2,big,low,bad
163,low,high,3,4,big,med,acc
164,vhigh,high,3,4,med,med,bad
165,low,high,3,4,med,low,bad
166,vhigh,vhigh,3,more,med,med,bad
167,high,low,4,4,med,med,acc
168,vhigh,vhigh,3,2,small,low,bad
169,low,high,2,2,small,high,bad
170,high,low,2,more,small,high,bad
171,vhigh,high,5more,2,big,low,bad
172,low,vhigh,2,more,med,med,bad
173,low,med,2,4,small,high,acc
174,high,high,2,4,big,low,bad
175,low,low,5more,more,small,high,acc
176,low,vhigh,3,4,big,low,bad
177,low,med,5more,2,small,high,bad
178,med,med,5more,4,big,high,acc
179,med,med,2,2,med,high,bad
180,high,med,4,2,big,low,bad
181,med,low,4,more,big,high,acc
182,med,low,5more,more,big,high,acc
183,high,low,2,2,med,med,bad
184,med,high,3,4,med,low,bad
185,med,vhigh,3,2,med,high,bad
186,low,low,3,2,big,high,bad
187,low,high,4,more,med,high,acc
188,low,high,2,4,med,high,acc
189,low,high,2,more,big,high,acc
190,vhigh,med,2,more,big,med,acc
191,med,low,4,more,small,high,acc
192,low,high,5more,2,med,high,bad
193,high,high,4,4,small,med,bad
194,med,low,2,4,big,med,acc
195,high,med,3,more,small,high,acc
196,med,high,2,more,big,high,acc
197,vhigh,med,4,2,med,high,bad
198,med,low,5more,4,big,high,acc
199,med,low,5more,more,med,high,acc
200,low,low,4,more,small,high,acc
201,vhigh,high,2,4,small,high,bad
202,low,med,5more,more,med,med,acc
203,med,vhigh,4,more,med,low,bad
204,low,med,2,more,med,high,acc
205,high,med,3,2,big,high,bad
206,low,med,2,2,big,low,bad
207,high,high,5more,4,small,high,acc
208,low,low,2,2,small,med,bad
209,low,low,3,more,small,high,acc
210,low,high,3,more,med,high,acc
211,low,high,3,more,small,low,bad
212,high,high,2,2,med,low,bad
213,vhigh,vhigh,4,4,small,high,bad
214,high,low,2,2,big,med,bad
215,low,vhigh,2,more,small,high,bad
216,vhigh,high,3,2,big,med,bad
217,low,low,3,4,med,high,acc
218,low,low,3,2,big,med,bad
219,low,high,3,more,big,high,acc
220,high,high,5more,more,big,med,acc
221,vhigh,low,2,4,big,low,bad
222,med,med,5more,4,big,low,bad
223,med,low,5more,more,small,med,acc
224,low,high,4,more,med,low,bad
225,low,med,5more,4,med,high,acc
226,high,med,4,2,small,med,bad
227,med,low,3,more,big,high,acc
228,high,vhigh,4,4,small,med,bad
229,med,med,2,more,med,high,acc
230,high,high,2,2,med,med,bad
231,vhigh,vhigh,2,more,small,med,bad
232,med,low,5more,4,med,high,acc
233,low,low,4,4,small,high,acc
234,high,high,3,2,med,high,bad
235,med,vhigh,2,2,big,high,bad
236,low,high,4,4,big,high,acc
237,low,vhigh,5more,more,big,low,bad
238,vhigh,high,2,4,med,low,bad
239,high,med,3,2,small,med,bad
240,vhigh,vhigh,3,more,small,high,bad
241,high,low,5more,4,big,high,acc
242,high,high,4,4,big,high,acc
243,high,med,5more,more,small,high,acc
244,med,low,4,4,med,high,acc
245,low,med,3,more,small,high,acc
246,med,med,3,4,big,high,acc
247,low,low,4,more,med,high,acc
248,med,low,5more,4,small,high,acc
249,low,low,5more,more,med,high,acc
250,high,high,4,more,med,high,acc
251,med,low,2,4,small,high,acc
252,low,high,3,more,med,med,acc
253,high,low,4,4,big,med,acc
254,med,low,2,2,small,high,bad
255,high,high,5more,4,med,low,bad
256,low,vhigh,3,4,small,low,bad
257,vhigh,high,2,more,big,med,bad
258,med,high,2,more,med,low,bad
259,vhigh,med,5more,2,med,low,bad
260,low,low,2,4,big,high,acc
261,med,vhigh,4,2,big,high,bad
262,med,high,5more,more,med,low,bad
263,high,low,3,2,med,med,bad
264,high,med,2,2,big,med,bad
265,low,low,3,more,big,high,acc
266,vhigh,vhigh,5more,4,med,med,bad
267,low,high,3,2,small,low,bad
268,vhigh,med,5more,4,big,low,bad
269,high,vhigh,2,4,big,low,bad
270,med,high,2,more,small,med,bad
271,low,vhigh,3,more,small,high,acc
272,vhigh,vhigh,2,2,big,low,bad
273,high,vhigh,3,4,med,high,bad
274,vhigh,vhigh,5more,2,big,low,bad
275,high,low,4,more,small,low,bad
276,high,vhigh,4,2,med,high,bad
277,med,high,4,4,med,med,acc
278,high,vhigh,2,4,med,low,bad
279,high,med,3,4,med,low,bad
280,med,low,4,4,small,med,acc
281,med,high,5more,2,big,low,bad
282,vhigh,low,5more,4,small,high,acc
283,med,med,2,4,big,low,bad
284,low,vhigh,2,4,small,low,bad
285,med,low,5more,4,big,med,acc
286,vhigh,low,5more,more,small,high,acc
287,low,low,2,4,big,med,acc
288,low,med,5more,4,small,high,acc
289,low,med,5more,more,med,high,acc
290,vhigh,high,5more,2,small,low,bad
291,med,low,2,more,med,high,acc
292,med,low,3,more,small,high,acc
293,med,high,5more,more,big,high,acc
294,med,low,5more,more,med,med,acc
295,vhigh,low,3,2,small,med,bad
296,vhigh,vhigh,5more,4,small,low,bad
297,med,vhigh,3,4,med,high,acc
298,high,high,4,4,med,high,acc
299,low,med,4,more,big,high,acc
